"FS name",FS macro region,"Name","Soil type",Description
"Maize-beans (Mesoamerica)",LAC,"Maize (Zea mays)","Clay loam",Clay content in excess of 30%
"Maize Mixed",SSA,"Maize (Zea mays)","Loamy sand",
"Maize Mixed",SSA,"Maize (Zea mays)","Clay loam",
"Maize Mixed",SSA,"Maize (Zea mays)","Clay",
"Maize Mixed",SSA,"Maize (Zea mays)","Oxisols",
"Maize Mixed",SSA,"Maize (Zea mays)","Vertisols",
"Maize Mixed",SSA,"Maize (Zea mays)","Ultisols",
"Maize Mixed",SSA,"Maize (Zea mays)","Mollisol",
"Cereal-Root Crop Mixed",SSA,"Millet","Loamy sand",
"Upland Intensive Mixed",EAP,"Oilseeds (palm oil)","Various",
"Rainfed Mixed",MENA,"Olive","Dry",
"Rainfed Mixed",MENA,"Olive","Chalky",
"Rainfed Mixed",MENA,"Olive","Clay-rich",
"Rainfed Mixed",SA,"Pigeopea","Black cotton",
"Rainfed Mixed",SA,"Pigeopea","Well drained",With a p H ranging from 7.0 - 8.5
"High Altitude Mixed (C. Andes)",LAC,"Potato","Sandy loam",Slightly acidic soil with a PH of 5.0 to 7.0
"Temperate Mixed",EAP,"Pulse","Loam",
"Upland Intensive Mixed",EAP,"Pulse (green gram)","Well-drained loam",
"High Altitude Mixed (C. Andes)",LAC,"Quinoa","Semi-deep loam","Easily worked, with good drainage and a supply of nutrients"
"High Altitude Mixed (C. Andes)",LAC,"Quinoa","Acid","With a pH of 4.5 (in Cajamarca, Peru)"
"High Altitude Mixed (C. Andes)",LAC,"Quinoa","Alkaline","With a pH of up to 9.5 (in Uyuni, Bolivia)"
"Lowland Rice",EAP,"Rice","Fluvisols",
"Lowland Rice",EAP,"Rice","Cambisols",
"Lowland Rice",EAP,"Rice","Acrisols",
"Upland Intensive Mixed",EAP,"Rice","Clay",
"Upland Intensive Mixed",EAP,"Rice","Clay loam",
"Highland Mixed",MENA,"Rice","Podzolic alluvium",
"Highland Mixed",MENA,"Rice","Clay",
"Highland Mixed",MENA,"Rice","Fertile riverine alluvial",
"Rainfed Mixed",SA,"Rice","Deep fertile clayey",Can be easily puddled into mud and develop cracks on drying.
"Rainfed Mixed",SA,"Rice","Loam",Can be easily puddled into mud and develop cracks on drying.
"Rainfed Mixed",SA,"Rice","Silty loam",
"Rainfed Mixed",SA,"Rice","Gravel",
"Rainfed Mixed",SA,"Rice","Acid",
"Rainfed Mixed",SA,"Rice","Alkaline",
"Rice-Wheat",SA,"Rice (Oryza sativa)","Clay",
"Rice-Wheat",SA,"Rice (Oryza sativa)","Clay loam",
"Rice",SA,"Rice (Oryza sativa)","Clay",
"Rice",SA,"Rice (Oryza sativa)","Clay loam",
"Coastal plantation and mixed",LAC,"Coffee (Coffea robusta)","Sandy loam",Shallow soils with good organic matter
"Coastal plantation and mixed",LAC,"Coffee (Coffea robusta)","Virgin",On steep mountain slopes or flatlands
"Pastoral",SSA,"Sahelian subsystem","Clay-limestone fraction",
"Pastoral",SSA,"Sahelian subsystem","Sandy loam",
"Pastoral",SSA,"Sahelian subsystem","Clay",
"Cereal-Root Crop Mixed",SSA,"Sorghum","Laoamy-clay",
"Forest based Livestock",LAC,"Soybean","Sandy",
"Forest based Livestock",LAC,"Soybean","Clay loam",
"Forest based Livestock",LAC,"Soybean","Alluvial",
"Upland Intensive Mixed",EAP,"Sugarcane","Sandy loam",
"Highland Perennial",SSA,"Tea","Deep",With a pH level of between 5.0 and 5.6
"Highland Perennial",SSA,"Tea","Well drained",With a pH level of between 5.0 and 5.6
"Highland Perennial",SSA,"Tea","Fertile",With a pH level of between 5.0 and 5.6
"Temperate Mixed",EAP,"Wheat","Clay loam",
"High Altitude Mixed (C. Andes)",LAC,"Wheat","Light clay",
"High Altitude Mixed (C. Andes)",LAC,"Wheat","Heavy loam",
"Dryland mixed",MENA,"Wheat","Clay loam",
"Dryland mixed",MENA,"Wheat","Loam",
"Highland Mixed",MENA,"Wheat","Clay loam",
"Rainfed Mixed",SA,"Wheat","Well drained",
"Rainfed Mixed",SA,"Wheat","Fertile",
"Rainfed Mixed",SA,"Wheat","Friable loam",
"Rainfed Mixed",SA,"Wheat","Clay loam",
"Rice-Wheat",SA,"Wheat (Triticum aestivum)","Clay loam",
"Rice-Wheat",SA,"Wheat (Triticum aestivum)","Loam",
"Root Crop",SSA,"Yam","Savanna Ochrosols",
"Root Crop",SSA,"Yam","Well drained",
"Root Crop",SSA,"Yam","Sandy",
"Root Crop",SSA,"Yam","Ferruginous",
"Root Crop",SSA,"Yam","Ferralitic",
"Root Crop",SSA,"Yam","Raw mineral",
