"M49 Code";"Sub-region Code";"Intermediate Region Code";"Country or Area";"ISO-alpha3 Code"
"466";"202";"11";"Mali";"MLI"
"470";"39";;"Malta";"MLT"
"104";"35";;"Myanmar";"MMR"
"499";"39";;"Montenegro";"MNE"
"496";"30";;"Mongolia";"MNG"
"580";"57";;"Northern Mariana Islands";"MNP"
"508";"202";"14";"Mozambique";"MOZ"
"478";"202";"11";"Mauritania";"MRT"
"500";"419";"29";"Montserrat";"MSR"
"474";"419";"29";"Martinique";"MTQ"
"480";"202";"14";"Mauritius";"MUS"
"454";"202";"14";"Malawi";"MWI"
"458";"35";;"Malaysia";"MYS"
"175";"202";"14";"Mayotte";"MYT"
"516";"202";"18";"Namibia";"NAM"
"540";"54";;"New Caledonia";"NCL"
"562";"202";"11";"Niger";"NER"
"574";"53";;"Norfolk Island";"NFK"
"566";"202";"11";"Nigeria";"NGA"
"558";"419";"13";"Nicaragua";"NIC"
"570";"61";;"Niue";"NIU"
"528";"155";;"Netherlands";"NLD"
"578";"154";;"Norway";"NOR"
"524";"34";;"Nepal";"NPL"
"520";"57";;"Nauru";"NRU"
"554";"53";;"New Zealand";"NZL"
"512";"145";;"Oman";"OMN"
"586";"34";;"Pakistan";"PAK"
"591";"419";"13";"Panama";"PAN"
"612";"61";;"Pitcairn";"PCN"
"604";"419";"5";"Peru";"PER"
"608";"35";;"Philippines";"PHL"
"585";"57";;"Palau";"PLW"
"598";"54";;"Papua New Guinea";"PNG"
"616";"151";;"Poland";"POL"
"630";"419";"29";"Puerto Rico";"PRI"
"408";"30";;"Democratic People's Republic of Korea";"PRK"
"620";"39";;"Portugal";"PRT"
"600";"419";"5";"Paraguay";"PRY"
"275";"145";;"State of Palestine";"PSE"
"258";"61";;"French Polynesia";"PYF"
"634";"145";;"Qatar";"QAT"
"638";"202";"14";"Réunion";"REU"
"642";"151";;"Romania";"ROU"
"643";"151";;"Russian Federation";"RUS"
"646";"202";"14";"Rwanda";"RWA"
"682";"145";;"Saudi Arabia";"SAU"
"729";"15";;"Sudan";"SDN"
"686";"202";"11";"Senegal";"SEN"
"702";"35";;"Singapore";"SGP"
"239";"419";"5";"South Georgia and the South Sandwich Islands";"SGS"
"654";"202";"11";"Saint Helena";"SHN"
"744";"154";;"Svalbard and Jan Mayen Islands";"SJM"
"90";"54";;"Solomon Islands";"SLB"
"694";"202";"11";"Sierra Leone";"SLE"
"222";"419";"13";"El Salvador";"SLV"
"674";"39";;"San Marino";"SMR"
"706";"202";"14";"Somalia";"SOM"
"666";"21";;"Saint Pierre and Miquelon";"SPM"
"688";"39";;"Serbia";"SRB"
"728";"202";"14";"South Sudan";"SSD"
"678";"202";"17";"Sao Tome and Principe";"STP"
"740";"419";"5";"Suriname";"SUR"
"703";"151";;"Slovakia";"SVK"
"705";"39";;"Slovenia";"SVN"
"752";"154";;"Sweden";"SWE"
"748";"202";"18";"Eswatini";"SWZ"
"534";"419";"29";"Sint Maarten (Dutch part)";"SXM"
"690";"202";"14";"Seychelles";"SYC"
"760";"145";;"Syrian Arab Republic";"SYR"
"796";"419";"29";"Turks and Caicos Islands";"TCA"
"148";"202";"17";"Chad";"TCD"
"768";"202";"11";"Togo";"TGO"
"764";"35";;"Thailand";"THA"
"762";"143";;"Tajikistan";"TJK"
"772";"61";;"Tokelau";"TKL"
"795";"143";;"Turkmenistan";"TKM"
"626";"35";;"Timor-Leste";"TLS"
"776";"61";;"Tonga";"TON"
"780";"419";"29";"Trinidad and Tobago";"TTO"
"788";"15";;"Tunisia";"TUN"
"792";"145";;"Türkiye";"TUR"
"798";"61";;"Tuvalu";"TUV"
"834";"202";"14";"United Republic of Tanzania";"TZA"
"800";"202";"14";"Uganda";"UGA"
"804";"151";;"Ukraine";"UKR"
"581";"57";;"United States Minor Outlying Islands";"UMI"
"858";"419";"5";"Uruguay";"URY"
"840";"21";;"United States of America";"USA"
"860";"143";;"Uzbekistan";"UZB"
"336";"39";;"Holy See";"VAT"
"670";"419";"29";"Saint Vincent and the Grenadines";"VCT"
"862";"419";"5";"Venezuela (Bolivarian Republic of)";"VEN"
"92";"419";"29";"British Virgin Islands";"VGB"
"850";"419";"29";"United States Virgin Islands";"VIR"
"704";"35";;"Viet Nam";"VNM"
"548";"54";;"Vanuatu";"VUT"
"876";"61";;"Wallis and Futuna Islands";"WLF"
"882";"61";;"Samoa";"WSM"
"887";"145";;"Yemen";"YEM"
"710";"202";"18";"South Africa";"ZAF"
"894";"202";"14";"Zambia";"ZMB"
"716";"202";"14";"Zimbabwe";"ZWE"
"680";"154";"830";"Sark";
