"Sub-region Code";"Intermediate Region Code";"Intermediate Region Name"
"202";"14";"Eastern Africa"
"202";"17";"Middle Africa"
"202";"18";"Southern Africa"
"202";"11";"Western Africa"
"419";"29";"Caribbean"
"419";"13";"Central America"
"419";"5";"South America"
"154";"830";"Channel Islands"
